SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	
P100	0	0	1	610	58	187,3964	3,230972	0						No image file specified		0	
P100	0	0	2	918	555	752,0815	1,355102	-1						No image file specified		0	
P100	0	0	3	1581	50	663,7923	13,27585	0						No image file specified		0	
P100	0	0	4	1773	33	391,3279	11,85842	0						No image file specified		0	
P100	0	0	5	2156	33	246,897	7,481728	0						No image file specified		0	
P100	0	0	6	2464	25	171,3004	6,852016	0						No image file specified		0	
P100	0	0	7	2856	42	84,29382	2,006996	0						No image file specified		0	
P100	0	0	8	3098	16	106,6084	6,663024	0						No image file specified		0	
P100	0	0	9	3489	50	187,2079	3,744158	0						No image file specified		0	
P100	0	0	10	3714	42	183,1414	4,360511	0						No image file specified		0	
P100	0	0	11	3906	42	161,887	3,854451	0						No image file specified		0	
P100	0	0	12	4139	125	779,0583	6,232467	0						No image file specified		0	
P100	0	0	13	4389	75	64,44359	0,8592479	0						No image file specified		0	
P100	0	0	14	4672	92	280,7193	3,051297	0						No image file specified		0	
P100	0	0	15	4947	59	153,6868	2,604861	0						No image file specified		0	
P100	0	0	16	5147	17	88,7142	5,218482	0						No image file specified		0	
P100	0	0	17	5356	75	201,04	2,680533	0						No image file specified		0	
P100	0	0	18	5772	259	168,5616	0,6508168	0						No image file specified		0	
P100	0	0	19	6206	450	412,7386	0,917197	-1						No image file specified		0	
P100	0	0	20	6856	83	259,2582	3,123593	0						No image file specified		0	
P100	0	0	21	7081	349	1005,775	2,881878	-1						No image file specified		0	
P100	0	0	22	7639	75	345,7203	4,609604	0						No image file specified		0	
P100	0	0	23	7872	25	31,97302	1,278921	0						No image file specified		0	
P100	0	0	24	8222	58	70,20671	1,210461	0						No image file specified		0	
P100	0	0	25	8439	16	72,30898	4,519311	0						No image file specified		0	
P100	0	0	26	9380	75	94,39982	1,258664	0						No image file specified		0	
P100	0	0	27	9580	100	190,3177	1,903177	0						No image file specified		0	
P100	0	0	28	9755	225	207,3356	0,9214917	-1						No image file specified		0	
P100	0	0	29	10063	692	135,074	0,1951937	-1						No image file specified		0	
P100	0	0	30	10888	17	51,82945	3,048791	0						No image file specified		0	
P100	0	0	31	11272	16	93,49753	5,843596	0						No image file specified		0	
P100	0	0	32	12005	8	65,77801	8,222251	0						No image file specified		0	
P100	0	0	33	13305	333	93,41962	0,2805394	0						No image file specified		0	
P100	0	0	34	13788	175	256,5874	1,466214	-1						No image file specified		0	
P100	0	0	35	14080	25	91,25108	3,650043	0						No image file specified		0	
P100	0	0	36	14388	33	182,4933	5,530101	0						No image file specified		0	
P100	0	0	37	14563	50	96,06499	1,9213	0						No image file specified		0	
P100	0	0	38	14696	25	315,8416	12,63366	0						No image file specified		0	
P100	0	0	39	14905	25	53,40376	2,136151	0						No image file specified		0	
P100	0	0	40	15280	25	119,2874	4,771494	0						No image file specified		0	
P100	0	0	41	15730	133	202,8479	1,525172	0						No image file specified		0	
P100	0	0	42	16271	83	284,4211	3,42676	0						No image file specified		0	
P100	0	0	43	16579	25	38,65914	1,546365	0						No image file specified		0	
P100	0	0	44	17004	25	40,28212	1,611285	0						No image file specified		0	
P100	0	0	45	17729	75	71,91555	0,958874	0						No image file specified		0	
P100	0	0	46	17963	75	47,41344	0,6321793	0						No image file specified		0	
P100	0	0	47	18579	25	191,4156	7,656622	0						No image file specified		0	
P100	0	0	48	18821	25	67,1634	2,686536	0						No image file specified		0	
P100	0	0	49	19071	25	137,4194	5,496775	0						No image file specified		0	
P100	0	0	50	19437	75	117,2265	1,56302	0						No image file specified		0	
P100	0	0	51	19796	67	251,4895	3,753575	0						No image file specified		0	
P100	0	0	52	20054	8	24,3456	3,0432	0						No image file specified		0	
P100	0	0	53	20346	75	30,63327	0,4084436	0						No image file specified		0	
P100	0	0	54	20729	192	27,35725	0,1424857	0						No image file specified		0	
P100	0	0	55	21146	108	37,74756	0,3495145	0						No image file specified		0	
P100	0	0	56	21887	42	70,71608	1,683716	0						No image file specified		0	
P100	0	0	57	22154	25	43,39836	1,735934	0						No image file specified		0	
P100	0	0	58	22512	350	36,50513	0,1043004	-1						No image file specified		0	
P100	0	0	59	22954	266	46,44847	0,1746183	-1						No image file specified		0	
P100	0	0	60	23562	50	170,202	3,404039	0						No image file specified		0	
P100	0	0	61	23945	34	196,3144	5,773952	0						No image file specified		0	
P100	0	0	62	24279	566	263,8785	0,4662164	-1						No image file specified		0	
P100	0	0	63	24945	59	227,7346	3,859908	0						No image file specified		0	
P100	0	0	64	25495	25	71,86746	2,874698	0						No image file specified		0	
P100	0	0	65	25979	41	48,40043	1,180498	0						No image file specified		0	
P100	0	0	66	26545	58	265,9744	4,585765	0						No image file specified		0	
P100	0	0	67	26903	300	66,20753	0,2206918	0						No image file specified		0	
P100	0	0	68	27362	16	44,93363	2,808352	0						No image file specified		0	
P100	0	0	69	27545	50	121,5568	2,431137	0						No image file specified		0	
P100	0	0	70	27795	58	96,3926	1,661941	0						No image file specified		0	
P100	0	0	71	28412	433	331,7813	0,7662387	0						No image file specified		0	
P100	0	0	72	29070	216	284,0934	1,315247	0						No image file specified		0	
P100	0	0	73	29453	8	33,91713	4,239641	0						No image file specified		0	
P100	0	0	74	29578	75	258,2115	3,44282	0						No image file specified		0	
P100	0	0	75	30278	75	30,87239	0,4116318	0						No image file specified		0	
P100	0	0	76	31095	241	238,5185	0,9897034	0						No image file specified		0	
P100	0	0	77	31486	67	218,1865	3,256515	0						No image file specified		0	
