# File: ogama_saccades2.txt
# Created: Donnerstag, 28. September 2023,15:08:00
# with: OGAMA Version: 5.1.7759
# Contents: GazeFixations table.
# Applies to Projekt:s22
#
SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	
P100	0	0	536	188397	41	38,38371	0,9361879	0						No image file specified		0	
P100	0	0	537	188680	42	71,69975	1,707137	0						No image file specified		0	
P100	0	0	538	188888	17	106,9518	6,291283	0						No image file specified		0	
P100	0	0	539	189572	41	142,0742	3,465223	0						No image file specified		0	
P100	0	0	540	189805	33	95,30999	2,888181	0						No image file specified		0	
P100	0	0	541	189980	17	55,15494	3,244408	0						No image file specified		0	
P100	0	0	542	190080	92	360,468	3,918131	-1						No image file specified		0	
P100	0	0	543	190472	16	45,07602	2,817251	0						No image file specified		0	
P100	0	0	544	190705	8	34,29132	4,286415	0						No image file specified		0	
P100	0	0	545	191263	75	41,62851	0,5550468	0						No image file specified		0	
P100	0	0	546	191638	42	114,7153	2,731318	0						No image file specified		0	
P100	0	0	547	192613	33	21,07666	0,6386868	0						No image file specified		0	
P100	0	0	548	192713	8	26,72888	3,34111	0						No image file specified		0	
P100	0	0	549	192838	25	43,99272	1,759709	0						No image file specified		0	
P100	0	0	550	193105	66	213,3523	3,232611	0						No image file specified		0	
P100	0	0	551	193363	42	90,4688	2,154019	0						No image file specified		0	
P100	0	0	552	193863	42	139,5322	3,322194	0						No image file specified		0	
P100	0	0	553	194071	42	72,08922	1,71641	0						No image file specified		0	
P100	0	0	554	194346	42	179,4167	4,271827	0						No image file specified		0	
P100	0	0	555	194604	34	176,1284	5,180247	0						No image file specified		0	
P100	0	0	556	194863	41	28,35184	0,6915083	0						No image file specified		0	
P100	0	0	557	195154	42	99,46449	2,368202	0						No image file specified		0	
P100	0	0	558	195371	25	127,9216	5,116862	0						No image file specified		0	
P100	0	0	559	195804	50	117,641	2,35282	0						No image file specified		0	
P100	0	0	560	196004	34	117,4152	3,453389	0						No image file specified		0	
P100	0	0	561	196154	42	79,42968	1,891183	0						No image file specified		0	
P100	0	0	562	196413	25	119,5298	4,781193	0						No image file specified		0	
P100	0	0	563	196571	33	113,1583	3,429039	0						No image file specified		0	
P100	0	0	564	196871	8	29,34853	3,668566	0						No image file specified		0	
P100	0	0	565	197038	25	298,7311	11,94924	0						No image file specified		0	
P100	0	0	566	197479	25	65,56895	2,622758	0						No image file specified		0	
P100	0	0	567	197621	183	326,5065	1,784189	-1						No image file specified		0	
P100	0	0	568	197904	42	250,6903	5,968816	0						No image file specified		0	
P100	0	0	569	198396	33	150,3017	4,554596	0						No image file specified		0	
P100	0	0	570	198771	25	122,4911	4,899642	0						No image file specified		0	
P100	0	0	571	198962	42	185,2657	4,411089	0						No image file specified		0	
P100	0	0	572	199271	8	33,92938	4,241172	0						No image file specified		0	
P100	0	0	573	199596	16	69,58921	4,349326	0						No image file specified		0	
P100	0	0	574	199787	100	400,6523	4,006524	0						No image file specified		0	
P100	0	0	575	200037	150	166,2544	1,108362	0						No image file specified		0	
P100	0	0	576	200237	42	410,6469	9,777306	0						No image file specified		0	
P100	0	0	577	200529	125	102,8353	0,8226823	0						No image file specified		0	
P100	0	0	578	200845	25	66,63873	2,665549	0						No image file specified		0	
P100	0	0	579	201179	41	69,82384	1,703021	0						No image file specified		0	
P100	0	0	580	201337	292	671,4431	2,299463	-1						No image file specified		0	
P100	0	0	581	201804	33	113,3904	3,436073	0						No image file specified		0	
P100	0	0	582	201945	25	214,5988	8,58395	0						No image file specified		0	
P100	0	0	583	202295	34	69,13809	2,033473	0						No image file specified		0	
P100	0	0	584	202462	25	145,7264	5,829057	0						No image file specified		0	
P100	0	0	585	202937	42	434,1951	10,33798	0						No image file specified		0	
P100	0	0	586	203170	9	21,35448	2,37272	0						No image file specified		0	
P100	0	0	587	203329	8	68,62112	8,57764	0						No image file specified		0	
P100	0	0	588	203804	100	69,51746	0,6951746	0						No image file specified		0	
P100	0	0	589	204054	158	357,8256	2,264719	-1						No image file specified		0	
P100	0	0	590	204312	41	59,83349	1,459353	0						No image file specified		0	
P100	0	0	591	204587	33	39,57898	1,199363	0						No image file specified		0	
P100	0	0	592	204712	191	60,32009	0,315812	-1						No image file specified		0	
P100	0	0	593	205078	25	149,6375	5,985498	0						No image file specified		0	
P100	0	0	594	205428	42	191,9877	4,571135	0						No image file specified		0	
P100	0	0	595	205595	33	64,23382	1,946479	0						No image file specified		0	
