,0
10%,-0.16238061678794635
20%,-0.22501455078879132
30%,-0.23634669294861863
40%,-0.22041050499097753
50%,-0.25084595950416316
60%,-0.2587435851964634
70%,-0.26304453154433627
80%,-0.2740733469711314
90%,-0.26820206214628867
100%,-0.2702118058844996
SkillScore,0.9999999999999999
