,0
10%,-0.17598525929048114
20%,-0.18362142951722912
30%,-0.22720443315019673
40%,-0.19797819947958967
50%,-0.21791935858039752
60%,-0.2172423920650058
70%,-0.22789972297921499
80%,-0.2336732795541256
90%,-0.23002395589504682
100%,-0.23728295654984646
SkillScore,0.9999999999999999
