,0
10%,-0.0049786628733997145
20%,-0.0644855381697487
30%,-0.07373162636320531
40%,-0.07136083451872925
50%,-0.08843053579895685
60%,-0.0948316737790422
70%,-0.1254148885727833
80%,-0.15504978662873398
90%,-0.15836889521100045
100%,-0.22830725462304408
SkillScore,0.9999999999999999
