,0
10%,0.0173067804646752
20%,-0.03556187766714082
30%,-0.07894736842105263
40%,-0.08179231863442388
50%,-0.11450924608819343
60%,-0.11190137505926978
70%,-0.1505452821242295
80%,-0.16666666666666663
90%,-0.19511616880037932
100%,-0.2413466097676624
SkillScore,0.9999999999999999
