,0
10%,-0.07467994310099572
20%,-0.08440018966334754
30%,-0.11427216690374584
40%,-0.10668563300142248
50%,-0.1683262209577999
60%,-0.21574205784732098
70%,-0.2605500237079184
80%,-0.2662399241346609
90%,-0.2880512091038407
100%,-0.3421052631578947
SkillScore,0.9999999999999999
