Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms]
P108,0,9,28994.890000000003,3221.654444444445
P108,1,7,176094.41,25156.344285714287
P108,10,3,28782.03,9594.01
P108,2,7,50849.38999999999,7264.19857142857
P108,3,18,256819.5000000001,14267.750000000005
P164,0,4,25874.23999999999,6468.559999999998
P164,1,14,111083.25000000004,7934.5178571428605
P164,10,6,41371.75000000001,6895.291666666668
P164,2,8,39532.03,4941.50375
P164,3,22,169715.79000000007,7714.354090909094
P165,0,0,0.0,0.0
P165,1,4,89697.62999999999,22424.407499999998
P165,10,5,46934.819999999985,9386.963999999996
P165,2,10,207074.34,20707.434
P165,3,12,163099.75000000003,13591.645833333336
P169,0,1,6439.97,6439.97
P169,1,21,230157.15999999995,10959.864761904759
P169,10,3,20289.190000000002,6763.063333333334
P169,2,9,102363.51999999999,11373.724444444444
P169,3,9,183306.08000000005,20367.34222222223
P193,0,9,128961.16000000002,14329.017777777779
P193,1,7,87906.01000000001,12558.00142857143
P193,10,3,9101.130000000001,3033.7100000000005
P193,2,5,44798.34000000001,8959.668000000001
P193,3,15,152709.71,10180.647333333332
P228,0,0,0.0,0.0
P228,1,3,19057.980000000003,6352.660000000001
P228,10,6,67698.54999999999,11283.091666666665
P228,2,9,42759.5,4751.055555555556
P228,3,6,97385.28,16230.88
P309,0,2,25792.489999999998,12896.244999999999
P309,1,25,257030.37000000002,10281.214800000002
P309,10,4,22659.410000000003,5664.852500000001
P309,2,21,286538.72,13644.70095238095
P309,3,25,277665.98000000004,11106.639200000001
P313,0,5,96825.84,19365.167999999998
P313,1,6,39772.23,6628.705000000001
P313,10,2,19270.08,9635.04
P313,2,16,185736.44999999992,11608.528124999995
P313,3,10,111320.9,11132.09
P320,0,5,49692.049999999996,9938.41
P320,1,2,11926.390000000007,5963.195000000003
P320,10,8,62028.70000000001,7753.5875000000015
P320,2,33,299018.4499999998,9061.165151515144
P320,3,18,206399.89,11466.660555555556
P322,0,1,12649.83,12649.83
P322,1,4,26043.089999999993,6510.772499999998
P322,10,6,43190.43000000001,7198.405000000002
P322,2,3,19647.1,6549.033333333333
P322,3,15,283500.29000000004,18900.019333333337
P327,0,1,35353.49,35353.49
P327,1,6,105566.6,17594.433333333334
P327,10,3,14178.100000000002,4726.033333333334
P327,2,9,109253.70999999999,12139.30111111111
P327,3,1,15081.11,15081.11
P327,6,1,8014.889999999999,8014.889999999999
P340,0,2,25363.670000000006,12681.835000000003
P340,1,2,24411.979999999996,12205.989999999998
P340,10,2,21685.18,10842.59
P340,2,4,48181.74,12045.435
P340,3,6,81828.41999999998,13638.069999999998
P340,6,2,57597.48,28798.74
P370,0,1,37439.93,37439.93
P370,1,2,22983.22,11491.61
P370,10,5,18530.590000000004,3706.118000000001
P370,2,19,296260.68000000005,15592.667368421055
P370,3,15,175348.72999999998,11689.915333333332
P370,6,3,47099.979999999996,15699.993333333332
P372,0,4,33151.31999999999,8287.829999999998
P372,1,4,74353.38,18588.345
P372,10,4,31296.779999999995,7824.194999999999
P372,2,6,55456.37000000001,9242.728333333334
P372,3,16,204922.25999999998,12807.641249999999
P372,6,4,49776.24,12444.06
