Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms]
151, 1.BMP,247,30441.599999999773,123.24534412955374
151, 2.BMP,131,11936.5,91.11832061068702
151, 31.BMP,10,20102.400000000023,2010.2400000000023
151, 3.BMP,4,17700.50000000006,4425.125000000015
151, 32.BMP,7,10226.700000000012,1460.9571428571446
151, 4.BMP,6,9042.0,1507.0
151, 61.BMP,7,8191.0,1170.142857142857
151, 62.BMP,2,5372.000000000058,2686.000000000029
151, 33.BMP,22,30495.699999999953,1386.1681818181796
151, 63.BMP,0,0.0,0.0
151, 64.BMP,4,8558.40000000014,2139.600000000035
151, 65.BMP,2,3019.699999999837,1509.8499999999185
151, 5.BMP,7,7457.299999999697,1065.3285714285282
151, 66.BMP,1,2152.0,2152.0
151, 6.BMP,1,3119.5999999999767,3119.5999999999767
151, 67.BMP,2,4170.800000000047,2085.4000000000233
151, 68.BMP,5,7823.800000000163,1564.7600000000325
151, 34.BMP,5,9509.200000000186,1901.8400000000372
151, 69.BMP,3,6806.5,2268.8333333333335
151, 7.BMP,13,12461.599999999977,958.5846153846136
151, 35.BMP,10,15898.5,1589.85
151, 36.BMP,9,13913.40000000014,1545.9333333333489
151, 37.BMP,9,15314.90000000014,1701.655555555571
151, 8.BMP,2,8207.90000000014,4103.95000000007
151, 9.BMP,5,12862.299999999814,2572.4599999999627
151, 38.BMP,8,12161.800000000047,1520.2250000000058
151, 10.BMP,5,14447.59999999986,2889.5199999999722
151, 70.BMP,6,13613.000000000233,2268.833333333372
151, 39.BMP,6,15848.300000000047,2641.383333333341
151, 40.BMP,5,10493.499999999767,2098.6999999999534
151, 71.BMP,15,5906.5000000006985,393.7666666667132
151, 72.BMP,13,3503.3000000002794,269.48461538463687
151, 41.BMP,30,14363.200000000186,478.77333333333956
151, 11.BMP,25,9075.999999999302,363.03999999997205
151, 42.BMP,21,16949.0000000007,807.0952380952714
151, 43.BMP,23,8240.999999999302,358.3043478260566
151, 12.BMP,30,15698.79999999958,523.2933333333193
151, 13.BMP,33,16899.79999999958,512.1151515151388
151, 73.BMP,4,2435.5999999998603,608.8999999999651
151, 14.BMP,6,5838.800000000047,973.133333333341
151, 74.BMP,7,6656.199999999953,950.8857142857076
151, 75.BMP,4,3670.3000000002794,917.5750000000698
151, 15.BMP,23,14012.399999999674,609.2347826086815
151, 76.BMP,10,6456.100000000326,645.6100000000326
151, 44.BMP,13,8641.800000000512,664.7538461538855
151, 16.BMP,26,12312.000000000466,473.53846153847945
151, 45.BMP,43,25174.500000001164,585.4534883721201
151, 77.BMP,1,4337.399999999907,4337.399999999907
151, 46.BMP,26,12562.30000000028,483.16538461539534
151, 17.BMP,17,7757.799999999814,456.3411764705773
151, 18.BMP,20,16999.999999999534,849.9999999999767
151, 78.BMP,8,3803.399999999907,475.42499999998836
151, 79.BMP,5,2535.899999999907,507.17999999998136
151, 47.BMP,29,17049.10000000149,587.9000000000514
151, 48.BMP,12,7374.100000000093,614.508333333341
151, 49.BMP,9,4387.700000000186,487.52222222224293
151, 50.BMP,26,15131.699999999255,581.9884615384328
151, 19.BMP,10,7106.899999999907,710.6899999999907
151, 20.BMP,15,15315.000000000466,1021.000000000031
151, 80.BMP,1,800.8000000002794,800.8000000002794
151, 21.BMP,15,13763.399999999907,917.5599999999938
151, 81.BMP,5,3570.0999999996275,714.0199999999255
151, 51.BMP,2,14880.69999999972,7440.34999999986
151, 22.BMP,2,9325.5,4662.75
151, 52.BMP,1,7073.5,7073.5
151, 82.BMP,0,0.0,0.0
151, 53.BMP,0,0.0,0.0
151, 54.BMP,3,7357.200000000186,2452.400000000062
151, 23.BMP,1,15047.80000000028,15047.80000000028
151, 24.BMP,6,13696.200000000186,2282.700000000031
151, 25.BMP,5,9158.899999999441,1831.7799999998883
151, 83.BMP,0,0.0,0.0
151, 84.BMP,3,5255.100000000093,1751.700000000031
151, 55.BMP,10,24089.400000001304,2408.9400000001306
151, 26.BMP,4,13162.700000000186,3290.6750000000466
151, 85.BMP,1,4437.600000000093,4437.600000000093
151, 27.BMP,6,10577.0,1762.8333333333333
