Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms]
P-101,bug1,530,896399.6532000061,1691.32010037737
P-101,bug2,648,1188252.1891000196,1833.7225140432402
P-102,bug1,919,1161033.6459999848,1263.3663177366539
P-102,bug2,875,620686.3405999988,709.3558178285701
P-103,bug1,426,663165.2722000019,1556.7259910798166
P-103,bug2,1376,1175462.331600001,854.2604154069776
P-104,bug2,234,827794.1174003482,3537.5816982920865
P-105,bug1,480,1001391.2619999647,2086.2317958332596
P-105,bug2,270,626876.3384000659,2321.7642162965403
P-106,bug1,121,358991.8889999972,2966.875115702456
P-106,bug2,375,1167677.740900001,3113.8073090666694
P-107,bug1,599,1197289.98409985,1998.8146646074292
P-107,bug2,549,780239.9901002347,1421.2021677599905
P-108,bug1,1019,1067684.661798954,1047.7769006859214
P-108,bug2,565,981267.5787009001,1736.75677646177
P-109,bug1,456,1149352.1971995234,2520.50920438492
P-109,bug2,325,1184290.6256991625,3643.971155997423
P-201,bug1,593,1103270.7998000458,1860.4903875211564
P-201,bug2,476,953919.7124000266,2004.0330092437534
P-202,bug1,308,340081.1485999897,1104.15957337659
P-202,bug2,321,622050.1942999978,1937.851072585663
P-203,bug1,87,512523.27960014343,5891.072179311994
P-203,bug2,130,996093.231700033,7662.255628461792
P-204,bug1,86,316179.02369996905,3676.5002755810356
P-204,bug2,247,744641.606199801,3014.7433449384653
P-205,bug1,968,1159530.9056999385,1197.8625058883663
P-205,bug2,386,1079129.9625001252,2795.673477979599
P-206,bug1,313,795112.7771998048,2540.296412778929
P-206,bug2,378,1059946.9602998197,2804.0924875656606
P-207,bug1,708,536822.819799995,758.2243217514055
P-207,bug2,786,833966.9355999883,1061.026635623395
P-208,bug1,53,139900.17760000005,2639.6259924528313
P-208,bug2,512,1109189.0159000084,2166.384796679704
P-209,bug1,204,500781.7410994172,2454.8124563696924
P-209,bug2,618,1061027.979700327,1716.8737535603996
P-301,bug1,415,631255.0483000167,1521.096501927751
P-301,bug2,372,586646.3351999708,1577.006277419276
P-302,bug1,709,1203072.2886008024,1696.8579528925281
P-302,bug2,594,1177198.8709991574,1981.8162811433626
P-303,bug1,82,133750.26239985228,1631.1007609738083
P-303,bug2,224,354363.74169921875,1581.9809897286552
P-304,bug1,507,1089628.6313012838,2149.1688980301456
P-304,bug2,85,193891.95659959316,2281.081842348155
P-305,bug1,76,779646.8855006695,10258.511651324598
P-305,bug2,46,896760.7019996643,19494.79786955792
P-307,bug1,350,710539.9510002136,2030.114145714896
P-307,bug2,647,1176924.8333004713,1819.049201391764
P-308,bug1,653,1207236.8613007069,1848.754764625891
P-308,bug2,311,418647.59619927406,1346.1337498368941
P-309,bug1,19,95329.39880108833,5017.3367790046495
P-309,bug2,265,1085209.5639996529,4095.1304301873693
P-401,bug1,124,196213.6831997037,1582.3684129008363
P-401,bug2,663,1189649.801299572,1794.3435917037284
P-402,bug1,482,567886.1651002169,1178.1870645232716
P-402,bug2,404,465021.0347998738,1151.0421653462224
P-403,bug1,371,758204.246199985,2043.6772134770486
P-403,bug2,520,738822.2202000152,1420.8119619231063
P-404,bug1,439,572051.4499992132,1303.078473802308
P-404,bug2,837,1200956.5250000954,1434.8345579451557
P-405,bug1,402,1202197.6563004255,2990.541433583148
P-405,bug2,402,1201140.3307988644,2987.9112706439414
P-406,bug1,195,987465.7249001861,5063.926794359929
P-406,bug2,80,1004145.1647998691,12551.814559998364
P-407,bug1,79,448492.4943998456,5677.120182276527
P-407,bug2,386,1039896.3323995471,2694.0319492216245
P-408,bug1,263,1010477.5384998322,3842.1199182503124
P-408,bug2,213,1013318.8840987682,4757.36565304586
P-409,bug1,267,342320.8068976402,1282.1004003656938
P-409,bug2,709,901434.3753972054,1271.4166084586818
