Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
P108,0,104,33162.580000000016,318.8709615384617
P164,0,85,19974.289999999983,234.99164705882333
P165,0,37,5621.469999999999,151.93162162162162
P169,0,78,16023.049999999983,205.42371794871772
P193,0,365,58787.06999999986,161.06046575342427
P228,0,76,11302.650000000003,148.71907894736847
P309,0,69,21066.300000000007,305.308695652174
P313,0,285,59572.37000000001,209.02585964912285
P320,0,156,39995.14999999995,256.3791666666663
P322,0,63,13487.119999999992,214.08126984126972
P327,0,74,17352.19000000001,234.48905405405418
P340,0,75,18403.65,245.38200000000003
P370,0,97,13738.900000000047,141.6381443298974
P372,0,110,32849.53999999999,298.6321818181818
P376,0,113,15853.050000000028,140.29247787610643
P379,0,120,22689.160000000018,189.07633333333348
P382,0,91,16068.820000000027,176.58043956043986
P393,0,134,31685.689999999995,236.4603731343283
P431,0,52,8377.199999999995,161.0999999999999
P435,0,80,18576.899999999998,232.21124999999998
P442,0,107,25569.02999999997,238.9628971962614
P459,0,45,9526.449999999988,211.69888888888863
P490,0,39,5032.190000000001,129.03051282051285
P523,0,130,24757.56999999994,190.4428461538457
P539,0,121,27870.029999999995,230.33082644628095
P548,0,94,22446.290000000005,238.79031914893622
P561,0,223,40930.64000000016,183.54547085201864
P604,0,81,19264.030000000006,237.8275308641976
P606,0,73,18300.569999999985,250.69273972602718
P620,0,96,22310.519999999997,232.40124999999998
P623,0,86,22287.310000000016,259.15476744186066
P627,0,108,20012.99000000005,185.30546296296342
P637,0,428,64313.1000000003,150.2642523364493
P641,0,324,73928.73000000001,228.17509259259262
P709,0,76,14115.489999999996,185.73013157894732
P718,0,100,23601.79999999999,236.0179999999999
P722,0,126,21644.72000000001,171.78349206349213
P742,0,49,6656.150000000023,135.83979591836783
P745,0,122,27687.270000000004,226.9448360655738
P763,0,355,74484.41000000009,209.81523943661998
P783,0,107,28398.21000000001,265.403831775701
P785,0,126,22246.34000000002,176.55825396825412
P797,0,130,27010.09999999996,207.76999999999967
P821,0,98,21546.43999999997,219.86163265306092
P825,0,77,23492.040000000008,305.09142857142865
P831,0,330,56477.02999999994,171.14251515151497
P855,0,89,25374.149999999998,285.102808988764
P867,0,121,21455.310000000005,177.31661157024797
P876,0,100,16774.640000000018,167.74640000000016
P901,0,84,13869.410000000003,165.11202380952386
P906,0,86,20220.66000000004,235.12395348837256
P920,0,42,12193.590000000002,290.3235714285715
P932,0,124,33023.540000000045,266.31887096774227
P952,0,141,39617.5599999999,280.97560283687875
P963,0,100,21608.870000000014,216.08870000000013
P108,1,474,81824.31999999983,172.62514767932453
P164,1,375,82833.04000000008,220.88810666666689
P165,1,184,25273.5699999999,137.35635869565164
P169,1,699,143222.57000000027,204.89638054363414
P193,1,367,57061.09000000009,155.47980926430543
P228,1,66,11829.139999999981,179.22939393939365
P309,1,910,196191.65000000017,215.59521978021996
P313,1,160,29780.20000000003,186.1262500000002
P320,1,56,9054.599999999995,161.68928571428563
P322,1,126,24795.53,196.78992063492063
P327,1,270,52070.719999999994,192.8545185185185
P340,1,72,19874.56000000001,276.0355555555557
P370,1,102,20032.10000000002,196.39313725490217
