Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
P-101,bug1,1763,223192.02949995734,126.59786131591454
P-101,bug2,3387,475606.5452999938,140.4211825509282
P-102,bug1,2581,422291.511299951,163.6154635024994
P-102,bug2,1693,285101.85059999675,168.4003842882438
P-103,bug1,1414,268735.7097999994,190.05354299858513
P-103,bug2,2878,569642.0536000263,197.9298309937548
P-104,bug2,1369,195904.87769973278,143.1007141707325
P-105,bug1,1746,337962.3512992263,193.5637750854675
P-105,bug2,1194,226720.66089969873,189.88330058601235
P-106,bug1,584,80441.28940000758,137.74193390412256
P-106,bug2,1781,299123.4452000037,167.95252397529686
P-107,bug1,2882,377022.47089996934,130.81973313669997
P-107,bug2,2364,332161.32570016384,140.50817500006931
P-108,bug1,2145,477865.7390998602,222.78123034958517
P-108,bug2,2123,410512.7694004774,193.36446980710193
P-109,bug1,3077,454303.94299930334,147.6450903475149
P-109,bug2,2348,317479.763299942,135.2128463798731
P-201,bug1,2772,429270.82770002633,154.85960595239044
P-201,bug2,2192,322928.43740003556,147.32136742702352
P-202,bug1,888,115632.35430000443,130.2166152027077
P-202,bug2,1843,270330.8313000207,146.67977824200796
P-203,bug1,854,119029.62049978971,139.37894672106523
P-203,bug2,1200,162381.60320055485,135.31800266712904
P-204,bug1,790,128424.16330011189,162.5622320254581
P-204,bug2,1978,326071.97129945457,164.8493282605938
P-205,bug1,1188,130230.90800008178,109.62197643104527
P-205,bug2,1796,226636.86729979515,126.18979248318216
P-206,bug1,2066,337153.51480042934,163.1914398840413
P-206,bug2,2287,405362.5093007684,177.24639672093065
P-207,bug1,1173,201170.23790000193,171.50062907076037
P-207,bug2,1979,344104.47020001523,173.87795361294351
P-208,bug1,254,34705.71770000458,136.63668385828575
P-208,bug2,2839,505124.74940001965,177.92347636492414
P-209,bug1,1371,245168.30320060253,178.8244370536853
P-209,bug2,2962,554922.9706026912,187.34739048031437
P-301,bug1,1509,307099.106900122,203.5116679258595
P-301,bug2,1749,297746.49379990995,170.23813253282444
P-302,bug1,2960,548799.8599017859,185.40535807492765
P-302,bug2,3129,561291.3060010076,179.38360690348597
P-303,bug1,425,68089.47389930487,160.2105268218938
P-303,bug2,1270,202941.69639921188,159.7966113379621
P-304,bug1,1313,219789.18299806118,167.39465574871377
P-304,bug2,380,64004.80050075054,168.4336855282909
P-305,bug1,328,59200.26000034809,180.48859756203686
P-305,bug2,91,13145.701999783516,144.4582637338848
P-307,bug1,1199,189548.59439992905,158.0889027522344
P-307,bug2,2033,343545.8014999628,168.98465395964723
P-308,bug1,2758,449841.83969044685,163.10436536999524
P-308,bug2,1049,158943.77309846878,151.5193261186547
P-309,bug1,134,19148.89999985695,142.9022388049026
P-309,bug2,1905,268345.91959929466,140.863999789656
P-401,bug1,454,88250.01230019331,194.3832870048311
P-401,bug2,2580,454635.70369803905,176.2153890302477
P-402,bug1,1418,224764.80639964342,158.5083260928374
P-402,bug2,1056,161478.00630009174,152.9147786932687
P-403,bug1,2124,341717.85780000687,160.88411384181114
P-403,bug2,1643,275255.9868000187,167.53255435180688
P-404,bug1,1257,299857.1924008727,238.54987462281042
P-404,bug2,2950,614513.9890996814,208.3098268134513
P-405,bug1,1760,260629.3590016365,148.08486306911166
P-405,bug2,1468,230896.096701622,157.28616941527386
P-406,bug1,704,108932.54960024357,154.7337352276187
P-406,bug2,213,35889.57550048828,168.49565962670553
P-407,bug1,350,33125.707800745964,94.64487943070276
P-407,bug2,554,58487.27910107374,105.57270595861687
P-408,bug1,1139,197219.17840075493,173.15116628687878
P-408,bug2,925,157114.5179924965,169.85353296486107
P-409,bug1,777,160430.5501050949,206.4743244595816
P-409,bug2,2018,373770.1087164879,185.21809153443402
