Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
P825,9,93,42861.079999999994,460.8718279569892
P831,9,70,33901.490000000005,484.3070000000001
P855,9,102,50894.53,498.96598039215684
P867,9,532,317945.53,597.6419736842106
P876,9,449,169028.99,376.45654788418705
P901,9,79,32462.150000000005,410.9132911392406
P906,9,45,28436.65,631.9255555555555
P920,9,149,74221.86,498.133288590604
P932,9,719,307957.76999999996,428.3140055632823
P952,9,489,231534.85,473.4864008179959
P963,9,244,90765.75,371.9907786885246
